volumes,1772
items,1586
linear ft,1156
envelopes,882
folders,871
linear feet,822
oversize folders,381
microfilms,161
oversize volumes,121
videotapes,113
prints,112
optical disks,73
p,55
audiocassettes,54
videodisc,47
sound disc,41
linear in,37
painting,35
linear inches,29
photographs,26
boxes,21
oversize items,20
oversize boxes,15
audiotapes,15
phonograph records,14
unknown,12
linear foot,10
maps,10
MB,9
leaves,9
drawings,8
item [outsize],8
videocassette of 1,8
computer laser optical disc,8
photoprint,7
film reel,7
compact disc,7
film reels,6
sec,6
items [outsize],6
negatives,6
",331 linear feet",6
slides,6
,5
folder [outsize],5
computer optical disc,4
painting on canvas,4
reel of 1,4
representational data,3
oversize,3
nos,3
Electronic text,3
DAT tape,3
oversize photos,3
videodiscs,3
min,3
videocassette (56 min,3
picture,3
pages,3
linear feet (26 items,2
portfolios,2
GB,2
ca.170 items,2
hard drive (225 GB,2
",781 files",2
item,2
photo album,2
inches,2
poster,2
oil painting,2
sheets,2
linear feet (2 boxes,2
Online resource,2
Ca. 25 items,2
chart,2
stenorette tapes,2
tubes,2
remote sensing images,1
videoreels,1
reels of 2?,1
v. : b ill,1
computer files,1
disc,1
audiodisc,1
[30] leaves,1
tape reel,1
photo postcards,1
CD-ROM (39 files,1
",055 linear feet",1
Transcript,1
prints on 1 sheet,1
"videocassettes, and scattered snapshots",1
videocassette [27 min.],1
scrapbook page,1
images,1
MS Word format,1
glass slides,1
<1.75> linear feet,1
Online,1
itme,1
loose-leaf v,1
DVD viewing copy,1
DVD-videos,1
audio CDs,1
[29] leaves,1
videodisc (14 min,1
linear feet and oversized,1
view,1
video tape,1
linear feet [10 v.],1
/2 in,1
photograph slides,1
oversize maps,1
motion picture film,1
tintypes,1
discs,1
",914 files",1
Betaca SP videotapes,1
videocassettes of 2,1
photo prints,1
v. : ill,1
seconds,1
audio disc (4 minutes,1
computer optical discs,1
CD-Roms,1
videodisc (68 min,1
photoprint on printed cardboard mount,1
card drawer,1
print ; oval image,1
case photographs,1
CD-ROM (22.4 mb,1
s,1
computer disks,1
DVD-videos (37 min,1
letters,1
videocassette : sd,1
linear feet and framed charter,1
motion pictures on 1 reel,1
CD-R discs,1
stenorette recording of interview,1
Ov. folder,1
videorecording,1
sound discs (2 hr,1
videocassette of films,1
CD-RWs,1
linear feet and1 oversize folder,1
videodiscs (2 h,1
sound recordings,1
CD-ROM [15 min. 58 sec. on disc],1
folder and scattered photographs,1
videocassette [12 min,1
<10> items,1
DVD-ROM,1
videocassette (16 min,1
linear Ft,1
reel of 1?,1
v. oversize,1
[13] sheets,1
microfilms reels,1
postcards,1
v. [200 p,1
KB,1
<1> CD-ROMs,1
approx. 130 files,1
painting on masonite,1
video cassettes,1
electronic files (5.30 gigabytes,1
Text and images,1
photographs and drawings,1
linear feet [3 v.],1
posters,1
sec.],1
digital images,1
videocassette viewing copy,1
folder and scattered photos,1
",000",1
painting on wood,1
pochoir watercolor print,1
items mounted on 1 board,1
copyprints,1
videocassette [22 min.],1
Electronic text and image data,1
panoramic photographs,1
CD-R,1
PDF format,1
filmstrips,1
oversize packages,1
letter,1
linear feet (1 item,1
transcript,1
videocassette [28 min.],1
"Computer program, text and graphics",1
computer optical disk,1
original videocassettes and DVD use copies,1
DVD-ROMs,1
book (ii,1
Electronic text and representational data,1
scroll,1
